genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YDR353W	P29509	TRR1	34.23767	OE	1.754266593	2	3.18E-07	3.18E-07	3.18E-07	1.000001	1	6	0	1
YPR167C	P18408	MET16	30.3799	OE	1.52284848	2	3.01E-06	3.02E-06	3.01E-06	1.000001	1	7	0	1
YCL050C	P16550	APA1	36.49211	OE	1.52284848	2	1.10E-07	1.10E-07	1.10E-07	1.000001	1	9	0	1
YKL001C	Q02196	MET14	23.06018	OE	1.52284848	2	2.40E-06	2.40E-06	2.40E-06	1.000001	1	5	0	1
YOL064C	P32179	MET22	39.14886	OE	1.52284848	2	9.59E-07	9.59E-07	9.59E-07	1.000001	1	4	0	1
YER043C	P39954	SAH1	49.12498	OE	1.238778862	2	6.54E-06	6.55E-06	6.54E-06	1.000001	1	4	0	1
YJR105W	P47143	ADO1	36.37191	OE	1.238778862	2	2.03E-07	2.03E-07	2.03E-07	1.000001	1	5	0	1
YCR012W	P00560	PGK1	44.73787	OE	1.031956307	2	7.66E-07	0.001689813	7.66E-07	1.000001	1	4	0	1
YPL061W	P54115	ALD6	54.41344	KO	0.001803802	0	0	2.31E-10	0	1.000001	1	8	0	1
YLR153C	P52910	ACS2	75.49079	KO	0.001803802	0	0	1.33E-10	0	1.000001	1	13	0	1
YAL054C	Q01574	ACS1	79.13997	KO	0.001803802	0	0	1.33E-10	0	1.000001	1	13	0	1
YDR234W	P49367	LYS4	75.14989	KO	0	0	0	0.001005516	0	1.000001	1	6	0	1
YDR300C	P32264	PRO1	47.16164	KO	0	0	0	2.26E-10	0	1.000001	1	4	0	1
YER091C	P05694	MET6	85.85892	KO	0	0	0	1.31E-10	0	1.000001	1	7	0	1
YER152C	P10356	YER152C	49.48976	KO	0	0	0	0.001526869	0	1.000001	1	6	0	1
YGL009C	P07264	LEU1	85.79356	KO	0	0	0	0.00088077	0	1.000001	1	4	0	1
YHR018C	P04076	ARG4	51.9886	KO	0	0	0	0.001453481	0	1.000001	1	3	0	1
YJL060W	P47039	BNA3	50.08168	KO	0	0	0	0.001508823	0	1.000001	1	10	0	1
YJL088W	P05150	ARG3	37.84479	KO	0	0	0	1.21E-11	0	1.000001	1	5	0	1
YLR304C	P19414	ACO1	85.36736	KO	0	0	0	0.000885167	0	1.000001	1	8	0	1
YMR062C	Q04728	ARG7	47.84821	KO	0	0	0	0.001579253	0	1.000001	1	9	0	1
YNL104C	P06208	LEU4	68.40819	KO	0	0	0	7.04E-11	0	1.000001	1	13	0	1
YNR001C	P00890	CIT1	53.35945	KO	0	0	0	5.88E-11	0	1.000001	1	7	0	1
YOL058W	P22768	ARG1	46.92715	KO	0	0	0	0.001610248	0	1.000001	1	7	0	1
YOL126C	P22133	MDH2	40.7305	KO	0	0	0	0.001855293	0	1.000001	1	5	0	1
YPR001W	P43635	CIT3	53.81073	KO	0	0	0	5.88E-11	0	1.000001	1	9	0	1
YPR035W	P32288	GLN1	41.7656	KO	0	0	0	1.97E-10	0	1.000001	1	7	0	1
YJL200C	P39533	ACO2	86.58224	KO	0	0	0	0.000872748	0	1.000001	1	7	0	1
YBL011W	P32784	SCT1	85.69341	KD	0.14583404	0	0	3.82E-06	0	1.000001	1	13	0	1
YDR148C	P19262	KGD2	50.43011	OE	1000	2	1.19E-06	3.96E-06	1.20E-06	1.000001	0	11	1	2
YHR163W	P38858	SOL3	27.78417	OE	1000	2	0	3.46E-05	3.46E-05	1.000001	0	5	3	2
YHR183W	P38720	GND1	53.54274	OE	1000	2	0	9.49E-06	9.49E-06	1.000001	0	6	4	2
YOR142W	P53598	LSC1	35.03207	OE	1000	2	8.26E-08	0.000922362	8.28E-08	1.000001	0	8	2	2
YGL062W	P11154	PYC1	130.09827	OE	5.795323075	2	0	2.85E-06	2.85E-06	1.000001	0	8	5	2
YLR160C	P0CX79	ASP3-4	38.6862	OE	3.577476174	2	0	1.50E-06	1.50E-06	1.000001	0	5	6	2
YAL038W	P00549	CDC19	54.54404	OE	2.560667333	2	0	1.54E-06	1.54E-06	1.000001	0	6	8	2
YGR254W	P00924	ENO1	46.81564	OE	2.560667333	2	0	0.001615636	1.55E-06	1.000001	0	5	9	2
YLL058W	Q12198	YLL058W	64.22244	OE	1.532172425	2	0	0.001176782	1.76E-07	1.000001	0	16	10	2
YOR375C	P07262	GDH1	49.56931	OE	1.243987929	2	0	7.36E-06	7.36E-06	1.000001	0	8	12	2
YLR180W	P10659	SAM1	41.81793	OE	1.238778862	2	8.59E-06	8.87E-06	8.86E-06	1.000001	0	7	13	2
YFR055W	P43623	IRC7	36.97108	OE	1.043515505	2	0	6.05E-06	6.05E-06	1.000001	0	6	14	2
YJL052W	P00360	TDH1	35.74956	OE	1.031956307	2	0	0.002127896	1.42E-05	1.000001	0	8	15	2
YNL037C	P28834	IDH1	39.32357	KO	0	0	0	1.39E-09	0	1.000001	0	5	20	2
YHR046C	P38710	INM1	32.82276	KD	0.146786672	0	0	9.99E-08	0	1.000001	0	5	16	3
YGR043C	P53228	NQM1	37.25314	KD	0.127543411	0	0	0.002028853	0	1.000001	0	6	17	3
